machine_id,time_cycles,sensor_temp,sensor_pressure,sensor_vibration,op_mode,op_setting,RUL
M-001,1,489.58,50.33,0.0541,30.0,0.1,167
M-001,2,489.69,50.67,0.0524,10.0,0.1,166
M-001,3,489.18,50.56,0.0452,10.0,0.1,165
M-001,4,487.69,50.63,0.0535,20.0,0.9,164
M-001,5,488.83,50.54,0.0547,10.0,0.9,163
M-001,6,489.13,50.68,0.0534,10.0,0.5,162
M-001,7,488.91,50.39,0.0596,10.0,0.5,161
M-001,8,488.63,50.87,0.0549,30.0,0.9,160
M-001,9,488.41,50.46,0.057,20.0,0.5,159
M-001,10,490.34,50.74,0.0562,30.0,0.5,158
M-001,11,489.4,50.29,0.0473,20.0,0.9,157
M-001,12,488.75,50.7,0.057,10.0,0.1,156
M-001,13,488.11,50.6,0.0598,30.0,0.9,155
M-001,14,488.58,50.42,0.0571,20.0,0.1,154
M-001,15,489.51,50.44,0.0535,10.0,0.9,153
M-001,16,488.25,50.6,0.0454,30.0,0.5,152
M-001,17,489.59,50.56,0.0594,30.0,0.9,151
M-001,18,488.76,50.52,0.049,30.0,0.1,150
M-001,19,488.95,50.47,0.0461,20.0,0.1,149
M-001,20,488.84,50.15,0.0522,30.0,0.9,148
M-001,21,489.51,50.58,0.0581,20.0,0.1,147
M-001,22,488.85,50.37,0.049,20.0,0.5,146
M-001,23,489.07,50.7,0.0575,10.0,0.9,145
M-001,24,489.08,50.51,0.05,20.0,0.9,144
M-001,25,488.72,50.12,0.0548,30.0,0.5,143
M-001,26,489.49,50.36,0.0582,10.0,0.1,142
M-001,27,488.28,50.38,0.0572,20.0,0.9,141
M-001,28,488.36,50.37,0.0578,20.0,0.9,140
M-001,29,490.58,50.46,0.0564,30.0,0.5,139
M-001,30,489.36,50.12,0.0636,30.0,0.1,138
M-001,31,489.79,50.18,0.0651,20.0,0.5,137
M-001,32,490.05,50.26,0.0562,30.0,0.5,136
M-001,33,489.67,50.48,0.0608,30.0,0.9,135
M-001,34,489.96,50.43,0.0552,10.0,0.1,134
M-001,35,489.42,50.38,0.0467,10.0,0.9,133
M-001,36,489.2,50.22,0.0634,20.0,0.1,132
M-001,37,489.01,49.93,0.0602,10.0,0.5,131
M-001,38,488.95,50.5,0.0664,30.0,0.5,130
M-001,39,489.27,50.37,0.0662,30.0,0.1,129
M-001,40,489.9,50.09,0.0697,10.0,0.1,128
M-001,41,490.03,49.95,0.0606,30.0,0.9,127
M-001,42,490.25,50.58,0.0598,30.0,0.5,126
M-001,43,489.51,50.36,0.0601,30.0,0.9,125
M-001,44,489.93,50.46,0.0603,10.0,0.1,124
M-001,45,491.34,50.71,0.0618,10.0,0.1,123
M-001,46,490.02,50.18,0.0653,10.0,0.1,122
M-001,47,489.9,50.1,0.0663,10.0,0.9,121
M-001,48,489.7,49.8,0.0607,20.0,0.1,120
M-001,49,490.6,50.31,0.0616,30.0,0.5,119
M-001,50,490.34,49.91,0.0689,10.0,0.1,118
M-001,51,490.31,50.14,0.0603,30.0,0.1,117
M-001,52,490.0,49.7,0.0676,20.0,0.9,116
M-001,53,489.67,50.31,0.0647,10.0,0.5,115
M-001,54,490.57,50.03,0.0593,20.0,0.9,114
M-001,55,489.76,49.74,0.0715,20.0,0.9,113
M-001,56,490.36,50.08,0.0559,10.0,0.1,112
M-001,57,490.84,50.18,0.0655,20.0,0.9,111
M-001,58,490.3,50.0,0.0601,20.0,0.9,110
M-001,59,489.75,49.75,0.0642,20.0,0.9,109
M-001,60,491.7,49.74,0.0597,20.0,0.1,108
M-001,61,490.71,49.6,0.0725,10.0,0.9,107
M-001,62,490.55,50.22,0.0624,20.0,0.1,106
M-001,63,491.12,49.68,0.0675,30.0,0.1,105
M-001,64,491.43,49.91,0.0668,10.0,0.9,104
M-001,65,490.1,49.7,0.0723,20.0,0.5,103
M-001,66,491.22,49.89,0.0798,30.0,0.5,102
M-001,67,491.49,49.73,0.0687,30.0,0.5,101
M-001,68,490.84,49.74,0.0735,30.0,0.1,100
M-001,69,491.66,49.73,0.0685,10.0,0.5,99
M-001,70,491.95,49.55,0.069,10.0,0.5,98
M-001,71,491.4,49.8,0.0741,10.0,0.1,97
M-001,72,491.68,49.7,0.0815,30.0,0.1,96
M-001,73,490.79,49.45,0.0755,10.0,0.9,95
M-001,74,492.33,49.59,0.0665,30.0,0.1,94
M-001,75,492.07,49.35,0.0786,20.0,0.1,93
M-001,76,491.81,50.14,0.0675,30.0,0.1,92
M-001,77,491.63,49.38,0.0807,20.0,0.9,91
M-001,78,492.18,49.56,0.0722,30.0,0.1,90
M-001,79,493.26,49.12,0.0782,10.0,0.9,89
M-001,80,492.13,49.43,0.079,30.0,0.5,88
M-001,81,493.22,49.37,0.0784,20.0,0.9,87
M-001,82,491.75,49.25,0.083,20.0,0.1,86
M-001,83,492.44,48.98,0.0795,10.0,0.1,85
M-001,84,492.49,49.36,0.0807,20.0,0.9,84
M-001,85,493.15,48.77,0.0786,30.0,0.9,83
M-001,86,492.43,48.97,0.073,20.0,0.5,82
M-001,87,492.71,49.24,0.0774,10.0,0.9,81
M-001,88,493.26,49.16,0.0749,10.0,0.5,80
M-001,89,492.69,49.38,0.0814,10.0,0.1,79
M-001,90,493.32,49.08,0.0839,10.0,0.5,78
M-001,91,492.91,48.95,0.0813,30.0,0.9,77
M-001,92,494.12,48.88,0.084,10.0,0.5,76
M-001,93,493.2,48.95,0.0786,20.0,0.5,75
M-001,94,493.2,48.68,0.0844,30.0,0.1,74
M-001,95,492.87,48.79,0.0787,10.0,0.1,73
M-001,96,493.74,49.01,0.0913,20.0,0.5,72
M-001,97,493.98,48.83,0.0867,10.0,0.5,71
M-001,98,493.15,49.08,0.0882,30.0,0.9,70
M-001,99,494.73,48.76,0.0892,20.0,0.1,69
M-001,100,495.03,48.79,0.091,10.0,0.1,68
M-001,101,494.72,48.58,0.0977,10.0,0.5,67
M-001,102,494.1,48.52,0.0872,10.0,0.1,66
M-001,103,494.2,47.94,0.091,30.0,0.9,65
M-001,104,495.12,48.49,0.0951,30.0,0.9,64
M-001,105,495.43,48.84,0.0919,20.0,0.5,63
M-001,106,494.97,48.53,0.1026,30.0,0.9,62
M-001,107,495.62,48.54,0.093,10.0,0.5,61
M-001,108,495.53,48.43,0.0972,10.0,0.1,60
M-001,109,494.27,48.37,0.1039,10.0,0.5,59
M-001,110,495.39,48.28,0.0919,30.0,0.9,58
M-001,111,495.15,48.41,0.0937,10.0,0.9,57
M-001,112,495.59,48.51,0.0996,30.0,0.9,56
M-001,113,495.86,48.15,0.1052,20.0,0.1,55
M-001,114,495.83,48.12,0.0901,20.0,0.5,54
M-001,115,496.18,48.1,0.0975,30.0,0.1,53
M-001,116,496.03,47.95,0.103,30.0,0.9,52
M-001,117,497.16,48.13,0.1034,30.0,0.9,51
M-001,118,496.28,48.06,0.105,20.0,0.1,50
M-001,119,497.22,48.09,0.101,30.0,0.5,49
M-001,120,496.37,48.14,0.1014,30.0,0.1,48
M-001,121,496.57,47.97,0.1002,10.0,0.9,47
M-001,122,496.85,47.7,0.104,10.0,0.5,46
M-001,123,496.34,47.83,0.1157,30.0,0.9,45
M-001,124,497.27,48.12,0.1166,20.0,0.1,44
M-001,125,498.2,47.89,0.1087,20.0,0.9,43
M-001,126,496.64,47.82,0.1077,30.0,0.5,42
M-001,127,497.23,47.49,0.1092,30.0,0.1,41
M-001,128,497.63,47.45,0.1141,30.0,0.5,40
M-001,129,497.72,47.65,0.1133,30.0,0.5,39
M-001,130,497.88,47.61,0.1187,20.0,0.9,38
M-001,131,498.3,47.13,0.1286,10.0,0.1,37
M-001,132,497.88,47.23,0.1179,10.0,0.9,36
M-001,133,496.93,47.58,0.1212,20.0,0.1,35
M-001,134,498.82,47.34,0.1228,20.0,0.5,34
M-001,135,497.74,47.7,0.1096,20.0,0.5,33
M-001,136,499.23,47.12,0.1244,10.0,0.1,32
M-001,137,498.31,47.05,0.1334,30.0,0.9,31
M-001,138,499.31,47.1,0.1241,10.0,0.5,30
M-001,139,498.87,47.19,0.1311,10.0,0.9,29
M-001,140,499.02,47.16,0.1226,10.0,0.9,28
M-001,141,499.31,47.05,0.1356,10.0,0.1,27
M-001,142,500.47,47.11,0.135,30.0,0.1,26
M-001,143,499.57,47.1,0.123,30.0,0.1,25
M-001,144,500.08,46.8,0.1324,30.0,0.9,24
M-001,145,498.97,46.5,0.135,30.0,0.9,23
M-001,146,500.54,47.19,0.1312,20.0,0.1,22
M-001,147,500.51,46.47,0.1272,30.0,0.1,21
M-001,148,500.58,46.54,0.1347,10.0,0.5,20
M-001,149,500.87,46.84,0.1312,10.0,0.1,19
M-001,150,501.24,46.35,0.1388,30.0,0.5,18
M-001,151,501.7,46.32,0.1293,30.0,0.5,17
M-001,152,501.26,46.59,0.1321,20.0,0.9,16
M-001,153,500.18,46.42,0.1321,20.0,0.5,15
M-001,154,501.4,46.32,0.1477,10.0,0.9,14
M-001,155,501.96,46.31,0.1342,20.0,0.1,13
M-001,156,502.63,46.1,0.136,10.0,0.5,12
M-001,157,501.94,46.66,0.1447,10.0,0.9,11
M-001,158,502.09,46.01,0.1381,10.0,0.5,10
M-001,159,501.51,45.99,0.1475,20.0,0.9,9
M-001,160,502.34,46.31,0.1441,30.0,0.5,8
M-001,161,501.92,45.92,0.14,20.0,0.1,7
M-001,162,502.73,46.01,0.157,20.0,0.1,6
M-001,163,503.58,45.9,0.1489,10.0,0.1,5
M-001,164,503.75,45.79,0.1433,30.0,0.1,4
M-001,165,503.44,45.52,0.1431,30.0,0.9,3
M-001,166,503.26,45.86,0.1637,10.0,0.5,2
M-001,167,503.43,45.64,0.1594,10.0,0.5,1
M-001,168,504.02,45.88,0.1471,20.0,0.5,0
M-002,1,495.52,50.4,0.0516,10.0,0.9,132
M-002,2,494.93,50.24,0.0526,10.0,0.9,131
M-002,3,495.21,50.16,0.0604,10.0,0.9,130
M-002,4,495.68,50.48,0.0484,30.0,0.5,129
M-002,5,496.24,50.37,0.0462,30.0,0.5,128
M-002,6,495.09,50.34,0.0414,20.0,0.5,127
M-002,7,495.75,50.43,0.0528,30.0,0.9,126
M-002,8,495.39,50.51,0.0445,10.0,0.5,125
M-002,9,495.48,50.36,0.0487,30.0,0.5,124
M-002,10,495.19,49.99,0.0474,20.0,0.9,123
M-002,11,496.55,50.27,0.0442,10.0,0.5,122
M-002,12,496.52,50.05,0.0575,20.0,0.5,121
M-002,13,495.88,50.37,0.0532,10.0,0.5,120
M-002,14,496.03,49.91,0.0513,10.0,0.1,119
M-002,15,496.3,50.32,0.05,10.0,0.1,118
M-002,16,496.3,50.77,0.0478,10.0,0.5,117
M-002,17,496.54,50.11,0.0398,20.0,0.9,116
M-002,18,495.37,50.15,0.0553,10.0,0.9,115
M-002,19,496.19,49.84,0.0599,20.0,0.5,114
M-002,20,495.78,50.01,0.0532,30.0,0.9,113
M-002,21,495.68,50.19,0.0627,20.0,0.1,112
M-002,22,495.95,50.08,0.0514,10.0,0.1,111
M-002,23,496.87,50.0,0.0457,30.0,0.9,110
M-002,24,497.23,50.07,0.0474,30.0,0.9,109
M-002,25,496.23,50.5,0.0544,10.0,0.9,108
M-002,26,496.81,50.27,0.0581,10.0,0.5,107
M-002,27,495.45,50.07,0.0557,20.0,0.9,106
M-002,28,496.32,49.85,0.0571,20.0,0.9,105
M-002,29,496.29,50.19,0.0523,20.0,0.9,104
M-002,30,496.37,49.75,0.055,10.0,0.5,103
M-002,31,496.45,50.22,0.0425,30.0,0.9,102
M-002,32,495.82,50.04,0.0602,20.0,0.1,101
M-002,33,496.59,50.32,0.0587,20.0,0.9,100
M-002,34,496.47,50.01,0.0539,30.0,0.9,99
M-002,35,496.41,49.71,0.0674,30.0,0.1,98
M-002,36,496.37,49.83,0.062,30.0,0.1,97
M-002,37,495.82,49.84,0.0575,10.0,0.1,96
M-002,38,497.19,49.97,0.0544,30.0,0.1,95
M-002,39,496.76,49.68,0.0528,20.0,0.9,94
M-002,40,497.35,50.3,0.0532,10.0,0.9,93
M-002,41,497.1,49.91,0.0584,20.0,0.9,92
M-002,42,498.32,49.69,0.0544,10.0,0.5,91
M-002,43,496.84,50.01,0.065,20.0,0.1,90
M-002,44,496.95,49.81,0.0565,20.0,0.1,89
M-002,45,497.41,49.41,0.0666,20.0,0.9,88
M-002,46,498.28,49.62,0.0623,10.0,0.1,87
M-002,47,497.43,49.63,0.0606,20.0,0.9,86
M-002,48,497.66,49.65,0.0573,10.0,0.1,85
M-002,49,498.08,49.62,0.0704,30.0,0.1,84
M-002,50,498.12,49.7,0.0598,30.0,0.1,83
M-002,51,497.66,49.5,0.0563,10.0,0.5,82
M-002,52,497.51,49.59,0.0596,30.0,0.1,81
M-002,53,497.79,49.33,0.0599,20.0,0.5,80
M-002,54,498.31,49.3,0.0682,20.0,0.1,79
M-002,55,498.25,49.44,0.0578,10.0,0.9,78
M-002,56,498.62,49.33,0.0618,30.0,0.5,77
M-002,57,498.94,49.32,0.0599,10.0,0.1,76
M-002,58,498.25,49.23,0.0689,20.0,0.9,75
M-002,59,498.79,49.19,0.066,20.0,0.5,74
M-002,60,499.57,49.68,0.0641,10.0,0.9,73
M-002,61,499.32,49.15,0.0679,10.0,0.9,72
M-002,62,498.24,48.96,0.0683,30.0,0.1,71
M-002,63,498.45,49.31,0.0711,20.0,0.9,70
M-002,64,498.78,49.09,0.0649,10.0,0.9,69
M-002,65,500.1,48.88,0.0637,30.0,0.9,68
M-002,66,498.94,49.24,0.071,30.0,0.5,67
M-002,67,498.77,49.31,0.0724,20.0,0.1,66
M-002,68,500.07,49.05,0.0759,30.0,0.9,65
M-002,69,499.86,49.07,0.0696,10.0,0.5,64
M-002,70,499.91,49.15,0.0776,10.0,0.5,63
M-002,71,499.53,49.23,0.0757,30.0,0.5,62
M-002,72,499.27,48.51,0.0796,30.0,0.1,61
M-002,73,500.05,48.55,0.0729,30.0,0.9,60
M-002,74,501.05,48.92,0.0848,10.0,0.1,59
M-002,75,500.83,48.87,0.0776,20.0,0.5,58
M-002,76,500.51,48.54,0.0744,20.0,0.1,57
M-002,77,500.18,48.62,0.0796,20.0,0.5,56
M-002,78,500.71,48.7,0.077,30.0,0.5,55
M-002,79,500.94,48.47,0.0838,10.0,0.9,54
M-002,80,501.46,48.17,0.0879,20.0,0.5,53
M-002,81,501.41,48.7,0.0951,20.0,0.5,52
M-002,82,501.19,48.37,0.093,30.0,0.1,51
M-002,83,501.32,48.1,0.0896,10.0,0.1,50
M-002,84,502.36,48.23,0.0895,30.0,0.5,49
M-002,85,501.2,48.14,0.0914,30.0,0.5,48
M-002,86,502.43,48.3,0.0793,30.0,0.9,47
M-002,87,501.92,48.0,0.0882,30.0,0.1,46
